common_name,scientific_name,moisture_needs,moisture_needs,sunlight_needs,sunlight_needs,hardiness_zones,hardiness_zones,img,key,uses,source
Aconitum,Aconitum hemsleyanum,{40},Mesic,{30},Partial or Dappled Shade,{40},4a (-30°F to -25°F),https://drive.google.com/open?id=1IStB7iTWDTe5QjyzRiEiOpBsJphFuQwK,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Extracts of Aconitum species have been given orally in traditional medicine to reduce fever associated with colds, pneumonia, laryngitis, croup, and asthma; for pain, inflammation, and high blood pressure; as a diuretic; to cause sweating; to slow heart rate; and for sedation.",https://www.drugs.com/npc/aconite.html
Aconite,Aconitum napellus,{40},Mesic,{20},Full Sun to Partial Shade,{40},4a (-30°F to -25°F),https://drive.google.com/open?id=13SApg_2jibk40GAgVmVQsi0Hz03z6tcI,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Extracts of Aconitum species have been given orally in traditional medicine to reduce fever associated with colds, pneumonia, laryngitis, croup, and asthma; for pain, inflammation, and high blood pressure; as a diuretic; to cause sweating; to slow heart rate; and for sedation.",https://www.drugs.com/npc/aconite.html
Monkshood,Aconitum uncinatum,{40},Mesic,"{10,20,30}",Full Sun to Dappled Shade,{60},6a (-10°F to -5°F),https://drive.google.com/open?id=1zgscfwbsFyv09uiKF02_rwn0ij5aYSVz,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Extracts of Aconitum species have been given orally in traditional medicine to reduce fever associated with colds, pneumonia, laryngitis, croup, and asthma; for pain, inflammation, and high blood pressure; as a diuretic; to cause sweating; to slow heart rate; and for sedation.",https://www.drugs.com/npc/aconite.html
Giant Fleeceflower,Aconogonon alpinum,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{20},2a (-50°F to -45°F),https://drive.google.com/open?id=1iEof7PDNdIwAEkbzb52TC4N4CLhG93j6,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Acrodon,Acrodon bellidiflorus,{40},Mesic,"{10,20}",Full Sun to Partial Shade,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1SY1ecEIUjGW0V6ZI5saynCpidO6y6Wui,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Bugbane,Actaea dahurica,{40},Mesic,{40},Partial to Full Shade,{40},4a (-30°F to -25°F),https://drive.google.com/open?id=1qGfWdCkl2tD1oMvD7mEoGlfkA3h6v-Qk,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","All species in this genus are more or less toxic.
                                                                                                                       This plant is an anti-infective herb that lowers fevers and reduces pain.  The root is analgesic, antibacterial, antiviral, depurative, diaphoretic, diuretic, febrifuge, sedative, tonic.   It is used internally in the treatment of coughs, colds, headaches, gum diseases and feverish infections such as measles.  The root is harvested in the autumn and used fresh or dried.  Use with caution — see the notes above on toxicity.",
White Baneberry,Actaea pachypoda,{40},Mesic,{40},Partial to Full Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=1LKbN5-gFxU4-pCt9U61fZ6xyPoY1jGNO,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","The whole plant, but especially the root, is anticonvulsive, antirheumatic, emmenagogue, mildly hypnotic, oxytocic and stimulant. Use with caution, see the notes above on toxicity. A decoction of the roots has been used in the treatment of coughs, colds, rheumatism and syphilis. It is also used in small doses to ease the pain of childbirth and is used as a stimulant to revive and rally patients at the point of death. An infusion of the roots has been used externally to treat itchy skin and as a gargle for sore throats. An infusion of leaves was drunk by the women of some Indian tribes in order to stimulate the flow of milk.",https://pfaf.org/user/Plant.aspx?LatinName=Actaea+pachypoda
Black Cohosh,Actaea racemosa,{40},Mesic,{40},Partial to Full Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=1sG8qZjkGrxyb3wzpVLSg2-OjuZFSNFlr,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Black cohosh is most commonly used for relief of menstrual discomfort and in the relief of menopausal symptoms. Other uses of this herb include treating rheumatoid arthritis, musculoskeletal pain, and fever.",https://www.ncbi.nlm.nih.gov/books/NBK470187/
Baneberry / Bugbane,Actaea simplex,{40},Mesic,{40},Partial to Full Shade,{40},4a (-30°F to -25°F),https://drive.google.com/open?id=1Je2u1iXyXPzwa0W8c30w-8zyhT4J6e7V,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Hardy Kiwi / Tara Vine,Actinidia arguta,{40},Mesic,{10},Full Sun,{60},6a (-10°F to -5°F),https://drive.google.com/open?id=1_JNa1FcASNiF1Eu6seOd6Rqjy2AgCwyy,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.","Containing over 20 essential nutrients and a range of vitamins, the kiwiberry comes near the top of fruits classed as superfoods. It is one of the richest sources of vitamin C with up to 430 mg/100 g fresh weight (FW) and is considered the richest dietary source of myo-inositol (up to 982 mg/100 g FW). The kiwiberry is also one of the richest sources of lutein (up to 0.93 mg/100 g FW) in commonly consumed fruit. Furthermore, containing up to 1301.1 mg/100 g FW phenolics and significant amounts of the essential minerals of potassium, calcium and zinc, the kiwiberry rates very highly as a ‘healthy food’. The type and number of this fruit’s medicinally promising nutrients have motivated ongoing investigations into its antioxidant, anti-tumour and anti-inflammatory properties. Early research has pointed to the kiwiberry being a very promising treatment for some cancers and health issues involving the gastrointestinal system, hypercholesterolemia and certain cancers. A pharmaceutical composition of A. arguta, A. kolomikta, and A. polygama extracts has already been registered for the prevention and treatment of some immune (inflammatory) mediated diseases, as well as the treatment of some non-allergic inflammatory diseases.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5717121/
Adenia,Adenia fruticosa,{40},Mesic,"{20,30}",Full Sun to Dappled Shade,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1uPc1VEMU4bzY3rz8qWI2EB8VKzfVKBx9,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Desert Rose,Adenium obesum,"{40,50,60}","Mesic, Dry Mesic, Dry","{10,20}",Full Sun to Partial Shade,{100},10a (30°F to 35°F),https://drive.google.com/open?id=1crL8lGj5OjOi6SY_2gEdFv3Jle_O2d3I,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.  Dry-Mesic Soils: The soil moisture is between the xeric and mesic levels. These soils are not dry or balanced, but slightly dry and are more moist compared to dry soils.  Dry Soils: Xeric or dry soils have very low moisture levels. They are usually far from water resources or receive very little precipitation. Most water drains or evaporates quickly leaving the soil dry. These soils tend to be sandy, rocky and low in organic material. The roots of wetland plants need moisture and cannot tolerate these dry soils.","In the Sahel a decoction from the roots, alone or in combination with other plants, is used to treat venereal diseases; a root or bark extract is used as a bath or lotion to treat skin diseases and to kill lice, while latex is applied to decaying teeth and septic wounds.",https://uses.plantnet-project.org/en/Adenium_obesum_(PROTA)
Ladybells,Adenophora liliifolia,{40},Mesic,{40},Partial to Full Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=1uRtOLBtPw-qwkutrSu-Tg0I9yr_9WwSA,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Maidenhair Fern,Adiantum,{30},Wet Mesic,"{30,40}",Partial to Full Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=1icQ9iTfD1L8f93HrKz6LbOYSVigqk8Bb,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.c",,
Southern Maidenhair Fern,Adiantum capillus-veneris,{40},Mesic,"{30,40}",Partial to Full Shade,{55},5b (-15°F to -10°F),https://drive.google.com/open?id=10Wf5QoAQ96lQlGvYx1Gm1-qyKyoZJlGJ,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Northern Maidenhair Fern,Adiantum pedatum,{40},Mesic,"{30,40,50}",Dappled Shade to Full Shade,{30},3a (-40°F to -35°F),https://drive.google.com/open?id=1y2nALI23RVkK7tJNL5An6CTO49gA-hgX,"Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
Bleeding Heart Vine,Adlumia fungosa,"{30,40}","Wet Mesic, Mesic","{10,40}",Partial to Full Shade,{50},5a (-20°F to -15°F),https://drive.google.com/open?id=1I1oKsebwF3EaG3Ryt52UvicviUbL1XD6,"Wet-Mesic Soils: The soil moisture is between the hydric and mesic levels. These soils are not saturated or balanced, but very moist and retain more water than mesic soils.  Mesic Soils: The moisture content of mesic soils is moderate and well balanced. The soil is not saturated and drains well, but never completely dries out. It usually is slightly moist. Most prairies and savannas tend to have mesic soils.",,
